eng,hindi
Let me congratulate you on your engagement.,आपको आपकी सगाई पर बहुत बहुत बधाईंयाँ।
I have a stomachache.,मुझे पेट में दर्द हो रहा है।
I don't know if I'll have time to do it.,मुझे नहीं पता मेरे पास यह करने के लिए समय होगा कि नहीं।
Write back to me as soon as you get this letter.,तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।
My mother often suffers from headaches.,मेरी माँ को अक्सर सिरदर्द होता है।
May I go ahead of you?,क्या मैं तुमसे आगे चली जाऊं?
Have you ever failed an exam?,क्या तू कभी किसी परीक्षा में असफल हुई है?
I don't know when she will leave for London.,मुझे नहीं पता वह लंदन के लिए रवाना कब होएगी।
I've taught myself to play the guitar.,मैंने खुद से गिटार बजाना सीख लिया है।
"All of a sudden, she began to laugh.",वह अचानक से हँस पड़ी।
I had to decline his offer.,मुझे उसके प्रस्ताव को अस्वीकार करना पड़ा।
The population is increasing.,आबादी बढ़ रही है।
Tell me what happened.,मुझे बताओ क्या हुआ।
I believe whatever he says.,"वह जो भी कहे, मुझे उस पर यकीन है।"
We have a black dog.,हमारे पास काला कुत्ता है।
Why don't you come visit us?,तुम हमसे मिलने क्यों नहीं आते?
He tends to get angry when people oppose him.,जब लोग उसके खिलाफ़ जातें हैं तो वह गुस्सा हो जाता है।
Do you like this book?,क्या तुम्हें यह किताब पसंद है ?
Someone robbed Mary of her money.,किसी ने मेरी से उसके पैसे चुरा लिए।
Did you miss me?,मेरी याद आई क्या?
"If possible, I'd like to travel around the world.",अगर हो सके तो मैं विष्व यात्रा पर जाना चाहूँगा।
Is this what you wanted?,तुम यही चाहते थे ना?
Duck!,झुको!
He is walking now.,वह अब चल रहा है।
It's four o'clock by my watch.,मेरी घड़ी के हिसाब से चार बजे हैं।
It is better to ignore this point.,बेहतर होगा कि इस बात को अनदेखा किया जाए।
The population is increasing.,जनसंख्या बढ़ रही है।
The telephone rang several times.,फ़ोन कई बार बजा।
He went outside for a breath of fresh air.,वह थोड़ी ताज़ा हवा खाने के लिए बाहर गया।
What put such an idea into your head?,तुम्हारे दिमाग़ में यह बात कैसे आई?
He was standing at the street corner.,वह सड़क के किनारे पर खड़ा था।
It is going to rain this afternoon.,आज दोपहर बारिश होने वाली है।
He wishes to become a doctor.,उसकी डॉक्टर बनने की अभिलाषा है।
They have no house to live in.,उनके पास रहने के लिए कोई घर नहीं है।
"At last, he realized his mistakes.",आखिरकार उसको उसकी ग़लतियाँ समझ में आईं।
"Excuse me, is this seat taken?","माफ़ कीजिएगा, यहाँ कोई बैठा हुआ है क्या?"
"You can buy whichever you like, but not both.","तुम्हें इन में से जो भी पसंद है ख़रीद लो, मगर तुम दोनों नहीं ख़रीद सकते।"
I tried to tell you.,मैंने तुम्हें बताने की कोशिश करी थी।
She gladly accepted his proposal.,उसने उसका प्रस्ताव खुशी से स्वीकार कर लिया।
Will you go with us?,तुम हमारे साथ आओगे क्या?
Both of my sisters are married.,मेरी दोनो बहनें शादीशुदा हैं।
I am grateful to them.,मैं उनका आभारी हूँ।
What languages do they speak in Canada?,कनाडा में कौनसी भाषाएं बोली जाती हैं?
Please give me a cup of tea.,मुझे एक कप चाय दीजिए।
He is not the sort of guy who gives in easily.,वह आसानी से मान जाने वाला आदमी नहीं है।
I have a headache.,मुझे सिरदर्द हो रहा है।
Will you exchange this sweater for a larger one?,आप यह स्वेटर बड़े नाप वाले के लिए बदल देंगे क्या?
I'll call you back later.,मैं तुम्हें थोड़ी देर में फ़ोन करूँगा।
The boy stripped off his clothes.,उस लड़के ने अपने सारे कपड़े उतारे।
When did the accident happen?,घटना कब हुई?
What's the worst that can happen?,सबसे बुरा क्या हो सकता है?
Africa was once called the Dark Continent.,अफ़्रीका को एक समय में अंधेर महाद्वीप बुलाया जाता था।
You should make use of this chance.,तुम्हें इस मौके का फ़ायदा उठाना चाहिए।
When did you see her?,तुमने उसे कब देखा था?
Let's start the party.,पार्टी शुरू करते हैं।
He had to go through a lot of hardships.,उसे बहुत सारे कष्ट सहने पड़े थे।
Nobody lied.,किसी ने झूठ नहीं बोला।
Take back what you said about me being stingy.,"जो तुमने मेरे कंजूस होने के बारे में कहा था, उस बात को वापस लो।"
You must forgive me.,आपको मुझे क्षमा करना होगा।
I can't stand it anymore.,मुझसे और सहन नहीं होगा!
I laughed.,मैं हँसा।
Tom wants to know why you didn't call him back.,टॉम पूछ रहा है कि तुमने उसे कॉल बैक क्यों नहीं किया।
I cooked dinner.,मैंने रात का खाना पकाया।
Always keep your office tidy.,अपने दफ़्तर को हमेशा साफ़-सुथरा रखना चाहिए।
How long will it take to get there?,वहाँ पहुँचने में कितनी देर लगेगी?
I had never seen her before that time.,मैंने उसे पहले कभी नहीं देखा था।
Cancer can be cured if discovered in time.,"कैंसर का अगर समय में पता चल जाए, तो उसका इलाज हो सकता है।"
The novel is very exciting.,यह उपन्यास बहुत रोमांचक है।
A police officer is talking to her.,एक पुलिस अफ़सर उससे बात कर रहा है।
He reminded his wife to wake him up at 7:00 a.m.,उसने अपनी पत्नी को उसे सुबह सात बजे उठाने की बात का याद दिलाया।
"Nobody likes him, because he is always blowing his own horn.",उसे कोई भी पसंद नहीं करता क्योंकि वह सारे टाईम अपनी बड़ाई करता रहता है।
Is there anywhere you want to go?,ऐसी कोई जगह है जहां आप जाना चाहते हो?
What time did your friend go home?,तुम्हारा दोस्त कितने बजे घर वापस गया था?
Mom scolded me for making fun of them.,माँ ने मेरे उनका मज़ाक उड़ाने के लिए डाँट लगाई।
There is a desk in this room.,इस कमरे में मेज़ है।
There's a rumor in the air that the firm is going into bankruptcy.,हवा में एक अफ़वाह है कि उस कारोबार का दिवालिया होने वाला है।
We must hurry if we want to arrive at the station on time.,अगर हमको स्टेशन समय पर पहुँचना है तो हमको जल्दी करनी होगी।
They wanted to get married as soon as they could.,वे जल्द-से-जल्द शादी करना चाहते थे।
I did it the way he told me to.,उसने जैसे बताया था मैंने वैसे किया।
"As soon as he finished his work, he went home.",वह अपना काम खतम करते ही घर चला गया।
He was looking at the sky.,वह आसमान की ओर देख रहा था।
Everybody came to the class on time.,सभी लोग क्लास में समय पर पहुँचे।
Happy holidays.,आपकी छुट्टियाँ मंगलमय हों ।
It is said that he is the richest man in the world.,कहा जाता है कि वह दुनिया में सबसे अमीर आदमी है।
Drink it down.,पीकर खतम करदो।
He reads the paper every morning.,वह हर सुबह अखबार पढ़ता है।
Tom sent a note to Mary.,टॉम ने मैरी को एक नोट भेजा।
I gave up smoking for a year.,मैंने एक साल के लिए सिगरेट पीना छोड़ दिया था।
She bought two pounds of butter.,उसने एक किलो मक्खन खरीदा।
We promised.,हमने वादा किया।
He tends to be arrogant.,उसको अहंकारी होने की आदत है।
You should make use of this chance.,तुम्हें इस मौके को गवा नहीं देना चाहिए।
She is appearing on TV tonight.,वह आज टीवी पर आएगी।
He will return within 3 hours.,वह तीन घंटों में वापस आएगा।
Don't worry about us.,हमारी चिंता मत करो।
What's your age?,तुम्हारी उम्र क्या है?
"If it rains tomorrow, will you stay at home?",अगर कल बारिश हुई तो तुम घर में रहोगे क्या?
Science begins when you ask why and how.,"विज्ञान तब शुरू होता है जब तुम ""क्यों"" और ""कैसे"" पूछते हो।"
He likes his school a lot.,उसे अपना स्कूल बहुत पसंद है।
He is angry with you.,वह तुमसे नाराज़ है।
Is it always a sin to tell a lie?,क्या झूठ हमेशा बुरा होता है?
I've lost my glasses.,मेरे चश्मे खो गए हैं।
The food's not ready yet.,खाना अभी तक तैयार नहीं हुआ है।
Is anybody here?,कोई है क्या?
Do you know how much strawberries cost right now?,क्या आप जानते हैं कि अभी स्ट्रॉबेरी की कीमत कितनी है?
Your bicycle is similar to mine.,तुम्हारी साईकल मेरी साईकल जैसी है।
It is essential to have good command of English nowadays.,आजकल अंग्रेज़ी अच्छे से बोलना जानना बहुत ज़रूरी है।
I'm used to working all night.,मुझे पूरी रात काम करने की आदत है।
My sister always keeps her room clean.,मेरी बहन अपने कमरे को हमेशा साफ़-सुथरा रखती है।
How many cars do you have?,आपके पास कितनी गाड़ियाँ हैं?
I will come with you.,मैं तुम्हारे साथ आऊँगा।
We're going home.,हम घर जा रहें हैं।
I do not have much time.,मेरे पास ज़्यादा समय नहीं है।
Father objected to my going to the mountain alone.,पिताजी मेरे पहाड़ पर अकेले जाने से राज़ी नहीं थे।
It was her fate to die young.,छोटी उम्र में मरना उसके भाग्य में था।
He is digging his own grave.,वह अपनी क़ब्र खोद रहा है।
We arrived at the station as the train was leaving.,हम स्टेशन पर तब पहुँचे जब ट्रेन चल पड़ी थी।
The man hit me on the head.,उस आदमी ने मुझे सर पर मारा।
The animals in the forest died off.,जंगल के जानवर मर गए।
I like playing the piano.,मुझे पियानो बजाना पसंद है।
Swimming is easy for me.,मेरे लिए तैरना आसान है।
How is everyone?,सब लोग कैसे हैं?
He's always late for class.,वह क्लास में हमेशा देर से आता है।
We went shopping.,हम खरीदारी करने गए थे।
You are on the wrong train.,आप गलत ट्रेन पर हैं।
Tom said he didn't think the heat bothered Mary.,टॉम ने कहा की उसे नहीं लगा की गर्मी से मैरी परेशान हो रही थी ।
Have you gone nuts?,तेरी अकल घास चरने गई है क्या?
I can't buy a book this expensive.,मैं इतनी महंगी किताब नहीं ख़रीद सकता।
It will take me no less than 10 hours to prepare for the exam.,मुझे परीक्षा की तैयारी करने के लिए कम-से-कम दस घंटे लगेंगे।
It's up to you whether to buy it or not.,ख़रीदो या न ख़रीदो तुम्हारे ऊपर है।
Who broke the vase?,गुलदान को किसने तोड़ दिया?
I'll never come back.,मैं कभी वापस नहीं आऊँगा।
I can't bear the sight of him.,मुझे उसको देखा नहीं जाता।
It's for a friend of mine.,यह मेरे दोस्त के लिए है।
He's sleeping like a baby.,वह बच्चे की तरह सो रहा है।
Is it possible to borrow money?,क्या पैसे उधार लिए जा सकते हैं?
Did you hear the news on the radio?,तुमने रेडियो पर खबर सुनी क्या?
I had nothing to do with the group.,मेरा उस ग्रुप के साथ कोई संबंध नहीं था।
The trouble is that they have no time.,मुश्किल यह है कि उनके पास समय नहीं है।
I've already called.,मैंने फ़ोन कर लिया है।
He leveled his gun at me.,उसने अपनी बंदूक का निशाना मुझपर लगाया।
You should conform to the rules.,तुम्हें नियमों का पालन करना चाहिए।
I've read the first page.,मैंने पहला पृष्ठ पढ़ा लिया I
You're kidding!,मज़ाक कर रहे हो!
The baby has been crying for a long time.,बच्चा बहुत देर से रो रहा था।
They were about to leave when I arrived there.,"जब मैं वहाँ पहुँचा, वे जाने वाले थे।"
